HOUR,NS
3255,1089.2
3256,1128.2
3257,1131.8
3258,1144
3259,1145.5
3260,1186.2
3261,1248
3262,1161.4
3263,1091.8
3264,1052.7
3265,1042.3
3266,1021.8
3267,1016.9
3268,1023.4
3269,1068.6
3270,1170.2
3271,1266.2
3272,1304
3273,1292.6
3274,1249.4
3275,1205.7
3276,1186.1
3277,1168.2
3278,1154.4
3279,1177.5
3280,1180.9
3281,1184.1
3282,1149.4
3283,1147.7
3284,1158.6
3285,1164.6
3286,1085.8
3287,1027.8
3288,984.6
3289,986.7
3290,950.9
3291,982.9
3292,996.9
3293,986.2
3294,1045.9
3295,1139.3
3296,1175
3297,1228.2
3298,1222.4
3299,1218.2
3300,1195.5
3301,1165.4
3302,1134.8
3303,1132.9
3304,1132.3
3305,1135.9
3306,1127.1
3307,1119
3308,1126.5
3309,1144.9
3310,1079.2
3311,1041.2
3312,995.3
3313,980.8
3314,964.5
3315,970.3
3316,998.2
3317,1011.7
3318,992.6
3319,1048.7
3320,1081.1
3321,1107.7
3322,1110.6
3323,1149.8
3324,1128
3325,1133.3
3326,1128.8
3327,1115.5
3328,1127
3329,1132.3
3330,1120.5
3331,1115.5
3332,1132.3
3333,1147.3
3334,1078.8
3335,1000.5
3336,941.5
3337,910.5
3338,910.8
3339,905
3340,909.9
3341,923.1
3342,944.6
3343,945.1
3344,1047.6
3345,1131.6
3346,1162.1
3347,1172.5
3348,1173.9
3349,1149.9
3350,1139.2
3351,1152.3
3352,1173.6
3353,1184.3
3354,1140.7
3355,1124.7
3356,1109.9
3357,1109.6
3358,1050.2
3359,986.3
3360,927.3
3361,894.3
3362,896.6
3363,893.7
3364,896.5
3365,907.5
3366,940.4
3367,971.1
3368,1001
3369,1031.1
3370,1063.6
3371,1086.1
3372,1080.8
3373,1047.1
3374,1020.1
3375,1065.1
3376,1122.3
3377,1140.6
3378,1158.4
3379,1156.4
3380,1162.7
3381,1176.3
3382,1099
3383,1006
3384,956.9
3385,918.7
3386,899.9
3387,903
3388,914
3389,906.4
3390,1019.6
3391,1129.8
3392,1118.4
3393,1107.1
3394,1097.5
3395,1105.5
3396,1105.6
3397,1080.6
3398,1081.7
3399,1117.7
